CycleNumber,OA-10_10N_20mms_test9,OA-10_10N_20mms_test2,OA-10_20N_100mms_test3,OA-10_10N_100mms_test4,OA-10_20N_100mms_test7,OA-10_10N_100mms_test5,OA-10_20N_20mms_test12,OA-10_20N_100mms_test8,OA-10_10N_100mms_test6,OA-10_10N_20mms_test10,OA-10_20N_20mms_test11,OA-10_20N_20mms_test1,C20A_20N_10mms_test1,C20A_10N_10mms_test3,C20A_10N_100mms_test4,C20A_20N_100mms_test2,TOCN_20N_10mms_test1,TOCN_10N_100mms_test4,TOCN_10N_10mms_test3,TOCN_20N_100mms_test1,OA-20_20N_100mms_test3,OA-20_20N_20mms_test1,OA-20_10N_100mms_test4,OA-20_10N_20mms_test2,OA-20_20N_100mms_test7,OA-20_20N_20mms_test2,OA-20_10N_20mms_test6,OA-20_20N_100mms_test8,OA-20_10N_100mms_test4,OA-20_10N_100mms_test3,OA-20_20N_20mms_test1,OA-20_10N_20mms_test5,OA-0_20N_100mms_test7,OA-0_10N_20mms_test14,OA-0_20N_100mms_test13,OA-0_20N_100mms_test2,OA-0_20N_20mms_test11,OA-0_20N_20mms_test1,OA-0_20N_20mms_test5,OA-0_10N_100mms_test12,OA-0_10N_100mms_test8,OA-0_10N_100mms_test3,OA-0_10N_20mms_test6,OA-0_10N_20mms_test4,C20A_OA-2_20N_10mms_test1,C20A_OA-2_10N_10mms_test3,C20A_OA-2_10N_100mms_test4,C20A_OA-2_20N_100mms_test2,OA-1_10N_20mms_test11,OA-1_10N_100mms_test13,OA-1_10N_20mms_test10,OA-1_20N_100mms_test8,OA-1_10N_100mms_test12,OA-1_20N_20mms_test1,OA-1_10N_100mms_test4,OA-1_20N_20mms_test5,OA-1_20N_100mms_test3,OA-1_10N_20mms_test2,OA-1_20N_100mms_test7,OA-1_20N_20mms_test6
10,0.13478078363216836,0.12667335514195086,0.15518562844104505,0.1655593168964301,0.15426590963728165,0.12242442561554297,0.10580483588492297,0.12637991492133077,0.06464538627801435,0.1120664401957199,0.14115429833697163,0.11142222623655093,0.09345314956192019,0.13593140004909163,0.12542682758261542,0.17586334512149412,0.13894220775009294,0.11279249794339505,0.18837925140015896,0.11103996023522486,0.13530933247212615,0.09738394088650555,0.11652642437085543,0.11908229014794858,0.1435116719624024,0.12292624533033047,0.1505727302017147,0.13976434849130892,0.1373608604258188,0.15165172658027778,0.15317513333185895,0.12077072215304376,0.14521658421564224,0.16652700821279903,0.1483083229025156,0.10742566858838405,0.16282611749415132,0.1427986862156643,0.14956311497349128,0.14041078792674586,0.14422046855422688,0.1578062421133604,0.1382751312455052,0.16849425278714616,0.14903806487779891,0.08218357360916309,0.17785696904177695,0.1379515767086633,0.1850648397605658,0.09113261121875367,0.12912731934977412,0.13419245538348276,0.1348413613604579,0.10386021419461147,0.129633344011929,0.12925121871976764,0.13323135551292592,0.12429351453148231,0.1422605063103187,0.14589618362175488
11,0.12247798459263497,0.18621826228955704,0.13801448646259024,0.17186364474200885,0.134559712106034,0.1267461702107407,0.09896415284771504,0.11354341245398791,0.11410334872574539,0.12141256104941373,0.14427099115075875,0.08610342968882854,0.08805096887213991,0.18410236269282895,0.1285084946396191,0.18166390045052644,0.11624509212044819,0.1475490131256556,0.11010299613829841,0.12852634865871468,0.13777875831893496,0.11193016420963872,0.08536252536471159,0.16421914615211847,0.14347837156145957,0.11790494801591456,0.16130724016509648,0.13890324492263553,0.17119482295690563,0.12440918341460974,0.14782740180613305,0.10997671158495055,0.13370360517079152,0.156544344882269,0.13810225810669524,0.11274364730568615,0.1796316386824287,0.13863937631796347,0.15192939544904696,0.12724157214235146,0.13252417598868832,0.1780575175235573,0.14810303444554562,0.11871202518205932,0.10758175297999155,0.0977142627125378,0.12021997855252914,0.16040606368954766,0.1785775933586426,0.13846540986907682,0.1446487686702413,0.12865721745815065,0.13653214058166815,0.1171471141204963,0.12918831614365212,0.1301342355110345,0.14064547084863654,0.13075597619958368,0.14470850148196793,0.13829321954458595
12,0.12257562212317388,0.17713544475850024,0.14552292263917932,0.15469432658319415,0.13191399722440336,0.15271288555019133,0.11325680552146153,0.13040963049177148,0.07993274688637853,0.14202597145824633,0.14022767240804362,0.12307739448316783,0.11752764383566168,0.22816573553974143,0.1607133206753924,0.1874504839649268,0.11547579366816414,0.13719638803527912,0.21068604266589455,0.11473640942155772,0.14838450187581345,0.11266439072041602,0.10037957376248198,0.130740005477682,0.14439775430884988,0.1414462910642141,0.17121999382994812,0.13854251407944712,0.1473122824211539,0.13534957499219932,0.16445826619575987,0.15290683757541487,0.1439987173383019,0.16591184682975793,0.1423546473931594,0.10978137234522242,0.1381286377041994,0.1336223730946901,0.12848479680964692,0.15709150020577858,0.18005411537574673,0.16658339011983572,0.13525379704865198,0.15804483347841594,0.1456756237021345,0.22505662188267408,0.1777721563199299,0.14213722941417653,0.20047747231531937,0.10675728024945588,0.14605666134916015,0.12185128358691208,0.13665663683173418,0.11008522860871381,0.1496319450302803,0.11981854146101471,0.13554619252198763,0.10446373998413909,0.126079573949482,0.12790355989690033
13,0.11590068664008749,0.15107399527610213,0.153245344092307,0.1602429111427388,0.1391672741203133,0.12636642921087496,0.12542506034411458,0.11655379714519688,0.10048746306619949,0.11040144185937235,0.12662105508872015,0.09729728871009362,0.11404689035910416,0.1396373001963058,0.11809767816870671,0.17155710595645773,0.1545951889372778,0.1390523437941098,0.0651981030495279,0.11136043589509968,0.14529554584282953,0.11127017491258119,0.09274138412828646,0.11349368254609025,0.13159718237371515,0.15231126073628107,0.17090518829046228,0.12723940243431722,0.16405153043132578,0.1457509676288954,0.14726300557355185,0.14061492975446443,0.14717100279534187,0.1638213620252386,0.140892989770102,0.10587169108295719,0.16390030905891964,0.15164411506639816,0.13633729228798683,0.13264785245390737,0.13377067508808776,0.1574128071035068,0.1588401825407622,0.14912510817687127,0.13055623388118512,0.17579598928440618,0.12459027075625917,0.15784585234766976,0.1279046685319104,0.11990887492570479,0.12819828177997303,0.1278652071733743,0.1003935240183476,0.13581453400442614,0.15561127296594,0.13260099819307736,0.14010652617643757,0.08832008700646701,0.12768539558782246,0.15502079689199902
14,0.15035918885091046,0.14626134063081733,0.13415319751842564,0.13191757124831546,0.13429266849478091,0.11011439146503159,0.11730182959130236,0.12785066374142043,0.08050309263328306,0.1297283641073346,0.15081341513818036,0.10179436941250834,0.16591126879723295,0.22023181226082475,0.1484822712475692,0.17850992286586378,0.11996738677443222,0.1407465750533442,0.12772916672936158,0.11778146231313176,0.1331777986246364,0.12184816329505672,0.09841478781149517,0.14369186962096142,0.12689941702399118,0.1415056969290865,0.1530355255611419,0.12647795597583372,0.16467085494735573,0.16573425218519258,0.14061705031625232,0.11431699275346274,0.15197894994394667,0.18450188329824593,0.14765866838276429,0.10733575291477154,0.16251912941979754,0.13213244631815688,0.138141949319224,0.12452429418282229,0.11925283687590993,0.15970863515884626,0.15607386349589514,0.20140719340272173,0.1418961294883469,0.10616429183439897,0.1298952949677704,0.14270086262445586,0.1462023286561551,0.10125157438571793,0.16338852675755589,0.13759625928703562,0.1292474903162611,0.11223135653090506,0.13962854605044855,0.14182590593025446,0.14535958883928068,0.11521519889850523,0.13138338051374487,0.13651869336697883
15,0.13866083167636384,0.13497215831668732,0.1470995598507176,0.14912065645700526,0.1389659170799071,0.14758078049814832,0.1027291076486195,0.11104555697129208,0.09679189708321279,0.10601153761628047,0.12609443629336084,0.10937695177591637,0.15078453012662743,0.17013266835011115,0.1348840011696948,0.18518682803648243,0.11538989191155835,0.13416058087774385,0.15448683646644631,0.11820303727371947,0.14945948247647245,0.12360893086650342,0.10681911532552874,0.09849356919269386,0.13242461227533994,0.13352775157128405,0.14945074234284417,0.14509833674507028,0.1495844891723063,0.17571819471644512,0.13394870128734834,0.14816087155983723,0.12937462388122858,0.15082028418815321,0.145800604053538,0.10627864866873657,0.17531371078717117,0.1431626481687219,0.1410330504831467,0.11738529209209352,0.12035247238562981,0.15793849925208195,0.11551154755507773,0.14111370652220978,0.11819000289382207,0.10512633191578413,0.16456946475826784,0.15697846625555248,0.14131733850324146,0.13914193884019757,0.16933812135284343,0.12626167913871097,0.1741381975115601,0.1292113796433738,0.1341827090383485,0.12869723810961733,0.13644393352295586,0.12457218751141415,0.13732198372672885,0.1490836239825284
16,0.1365856496749351,0.13580890327352851,0.1387990923691134,0.1775391108603354,0.151538768086723,0.1648718971366664,0.09808293750956662,0.12637555332603798,0.05429425749144753,0.11689090084509807,0.15228150682018654,0.12300276906444524,0.11139572745305831,0.18531661583830863,0.12161384137204462,0.19265534686270783,0.11373079153537269,0.1653172715357449,0.05238937580079138,0.12458992816514845,0.1528718916814077,0.11658080480557816,0.0913772422682754,0.15277790565719496,0.1228776859347418,0.13509097500522924,0.15651943525353923,0.14209249612422306,0.15262189121754466,0.1593131581541562,0.13453615166639196,0.13416709688475317,0.12606070925230994,0.15243821344515066,0.13422719956442175,0.10734996860215851,0.16725563154767645,0.148157100568073,0.14070364571127592,0.159821473091301,0.14261068361476928,0.14130260960367047,0.11300661153344031,0.15240365703488443,0.1309509084381479,0.17019677003254957,0.15796886880018643,0.13347314413652328,0.15615561076036075,0.1387035209358229,0.16733370526910615,0.13291482606800017,0.12323733217318288,0.10678057858415506,0.14278995747398604,0.1314477365307461,0.14730690105491015,0.14112212909271418,0.14524443173643886,0.16167012961899183
17,0.13975842211381884,0.13599609560230638,0.15151631112874428,0.1371860986809188,0.14609881960961374,0.12559673591778836,0.10583189210578457,0.12148695947980476,0.08590208677830401,0.13268632433560035,0.14385304918014946,0.13173585840681082,0.125966909594768,0.19809346697625602,0.14190428610614778,0.18858225197909956,0.08874019502428197,0.15379170401109957,0.06852693973741622,0.11440763488960536,0.14276795334437195,0.09934535951512626,0.09287848949142413,0.15649500895948343,0.13723884760116908,0.14217959747825837,0.14571038892688218,0.1413125379932217,0.12614760514290016,0.1505894141161854,0.1542712595993297,0.13261732206363938,0.14347197965877406,0.15421333788509992,0.1598016857877649,0.10966259505879865,0.1564399076544823,0.13571432744098078,0.17832941482253667,0.13520166519000937,0.16664973167528735,0.13188518791732812,0.13396094726823743,0.1729191884041548,0.10039851453447439,0.14833377436925788,0.15299240836439526,0.14550670853996325,0.11180097037213281,0.1329301402652658,0.16908487971252756,0.1377336071429906,0.13974119246067748,0.11668429155768689,0.1458675298121212,0.11539953016642496,0.13063221290693416,0.11167322082244212,0.14475278359024485,0.1505857332760145
18,0.12857601163538673,0.1427804146513115,0.13345846629824992,0.1147416373220498,0.14131681996236942,0.15235807645128988,0.11323186231430847,0.13253759490245967,0.07058711132338613,0.13806729037307344,0.15448127408797363,0.1362589068544936,0.1239409489945158,0.2025786991291217,0.1554140522805051,0.17636448382024272,0.12818332635808521,0.1188812930435393,0.10369096783038585,0.11792237325596044,0.14751338241764186,0.10954003518321427,0.07199617247867236,0.10577893772993677,0.1271854629822624,0.13260026396511176,0.1724199847763255,0.13546816031382813,0.15151523819943516,0.155049171023604,0.14114742003181635,0.11895905874774236,0.13608135427433174,0.17391127537589685,0.14400206759859752,0.10472006756349754,0.14948475561920363,0.1475418477200978,0.132673852218097,0.14359613452400552,0.13753888732735617,0.15579703485575083,0.1355265284131888,0.17610011688178423,0.12044972894662392,0.13218630514855212,0.1604779731481256,0.16055877232591864,0.1468743124020446,0.2317103003721295,0.1470354577654079,0.14080839415814858,0.1304337916262785,0.12447644818430306,0.15036892979977223,0.1370276985161358,0.1320906143203684,0.10736484033211836,0.1293839835449833,0.14800285104781313
19,0.1008802395298124,0.14927373579963824,0.14533914148446456,0.1778642687016474,0.1326716425312414,0.16259060344505946,0.10506572732605694,0.13902769974074985,0.11625740257231726,0.08343145499797411,0.14568209117713748,0.1462598583450244,0.09501899663270662,0.14995023762360246,0.13374587054924092,0.1859853169145355,0.14609546075410246,0.1414306935580426,0.16185662570975387,0.12186643194428798,0.13390857971155298,0.10971931691171326,0.09127256573198911,0.15125370049299075,0.13871221406840278,0.12748474315341718,0.11244176003377034,0.1268681523126583,0.1251284789846591,0.14532666269184474,0.14887488122438639,0.15951568402045582,0.13639126075210473,0.1477917593684265,0.14495997017260526,0.1027750587822077,0.17830265007926116,0.14904333995869862,0.15775232434253317,0.13908800774817465,0.14676561128374632,0.14786986061463292,0.15615575012720376,0.14851106526830668,0.14716412976790505,0.0646920579484257,0.1598577512501569,0.15275738049397591,0.1476736731433056,0.16640856030411416,0.15479416998175424,0.1474125998249925,0.12107911291194882,0.1107230600996657,0.13683114845676375,0.13333075478001302,0.14160171464335666,0.12772014964511955,0.12611723182098622,0.1561901237140423
